PO_ID,OrderDate,ExpectedDelivery,ActualDelivery,SKU,ItemName,Supplier,Category,Warehouse,OrderQuantity,UnitCostUSD,TotalOrderValueUSD,LeadTimeDays,DeliveryDelayDays,OrderStatus,PaymentStatus,Buyer
PO-0001,29-01-2026,03-02-2026,05-02-2026,SKU-1029,Binder Clips Box,Pinnacle Packaging Group,Office Supplies,Warehouse A - North,300,2.18,654,5,2,Delivered,Paid,Alex Johnson
PO-0002,19-04-2026,25-04-2026,23-04-2026,SKU-1026,Gearbox Unit,Pinnacle Packaging Group,Spare Parts,Warehouse A - North,145,276.07,40030.15,6,-2,Delivered,Paid,Alex Johnson
PO-0003,20-02-2026,10-03-2026,11-03-2026,SKU-1025,Filter Cartridge,Summit Electronics Ltd.,Spare Parts,Warehouse A - North,509,84.91,43219.19,18,1,Delivered,Paid,Priya Sharma
PO-0004,19-04-2026,04-05-2026,06-05-2026,SKU-1031,Industrial Cleaning Solvent,Pinnacle Packaging Group,Chemicals,Warehouse B - Central,209,18.25,3814.25,15,2,Delivered,Pending,Emily Chen
PO-0005,02-04-2026,18-04-2026,25-04-2026,SKU-1004,Microcontroller Kit,Orion Logistics Supply,Electronics,Warehouse C - South,320,199.36,63795.2,16,7,Delayed,Pending,Emily Chen
PO-0006,01-02-2026,18-02-2026,17-02-2026,SKU-1025,Filter Cartridge,Summit Electronics Ltd.,Spare Parts,Warehouse C - South,615,84.91,52219.65,17,-1,Delivered,Paid,Rahul Verma
PO-0007,19-02-2026,26-02-2026,24-02-2026,SKU-1026,Gearbox Unit,Pinnacle Packaging Group,Spare Parts,Warehouse B - Central,727,276.07,200702.89,7,-2,Delivered,Paid,Priya Sharma
PO-0008,08-04-2026,21-04-2026,26-04-2026,SKU-1004,Microcontroller Kit,Vertex Parts & Tools,Electronics,Warehouse A - North,700,199.36,139552,13,5,Delayed,Pending,Rahul Verma
PO-0009,23-02-2026,08-03-2026,07-03-2026,SKU-1016,Corrugated Boxes (L),Nova Industrial Supply,Packaging,Warehouse C - South,673,5.18,3486.14,13,-1,Delivered,Paid,Priya Sharma
PO-0010,08-04-2026,21-04-2026,27-04-2026,SKU-1019,Bubble Cushioning Roll,Vertex Parts & Tools,Packaging,Warehouse A - North,274,28.64,7847.36,13,6,Delayed,Pending,Priya Sharma
PO-0011,26-07-2026,10-08-2026,14-08-2026,SKU-1002,Power Supply Unit,Atlas Raw Materials,Electronics,Warehouse A - North,324,202.07,65470.68,15,4,In Transit,Pending,Rahul Verma
PO-0012,17-06-2026,07-07-2026,11-07-2026,SKU-1011,Copper Wire Coil,BlueRiver Chemicals,Raw Materials,Warehouse A - North,955,85.31,81471.05,20,4,Delayed,Pending,Rahul Verma
PO-0013,05-03-2026,18-03-2026,25-03-2026,SKU-1005,LCD Display Panel,Meridian Components Co.,Electronics,Warehouse B - Central,488,126.62,61790.56,13,7,Delayed,Pending,Priya Sharma
PO-0014,11-05-2026,31-05-2026,30-05-2026,SKU-1005,LCD Display Panel,Orion Logistics Supply,Electronics,Warehouse A - North,823,126.62,104208.26,20,-1,Delivered,Pending,Priya Sharma
PO-0015,24-06-2026,12-07-2026,19-07-2026,SKU-1034,Adhesive Resin Drum,Meridian Components Co.,Chemicals,Warehouse B - Central,115,382.25,43958.75,18,7,Delayed,Pending,Emily Chen
PO-0016,06-03-2026,11-03-2026,10-03-2026,SKU-1024,Motor Coupling,Summit Electronics Ltd.,Spare Parts,Warehouse C - South,748,145.33,108706.84,5,-1,Delivered,Paid,Rahul Verma
PO-0017,10-02-2026,01-03-2026,27-02-2026,SKU-1018,Pallet Wrap,Summit Electronics Ltd.,Packaging,Warehouse C - South,789,35.22,27788.58,19,-2,Delivered,Paid,Alex Johnson
PO-0018,18-03-2026,08-04-2026,15-04-2026,SKU-1029,Binder Clips Box,Nova Industrial Supply,Office Supplies,Warehouse B - Central,253,2.18,551.54,21,7,Delayed,Pending,Priya Sharma
PO-0019,19-07-2026,09-08-2026,07-08-2026,SKU-1025,Filter Cartridge,Vertex Parts & Tools,Spare Parts,Warehouse B - Central,663,84.91,56295.33,21,-2,In Transit,Pending,Alex Johnson
PO-0020,03-04-2026,17-04-2026,18-04-2026,SKU-1004,Microcontroller Kit,Pinnacle Packaging Group,Electronics,Warehouse C - South,109,199.36,21730.24,14,1,Delivered,Paid,Alex Johnson
PO-0021,05-05-2026,12-05-2026,18-05-2026,SKU-1032,Lubricant Drum,Nova Industrial Supply,Chemicals,Warehouse A - North,834,129.4,107919.6,7,6,Delayed,Pending,Emily Chen
PO-0022,12-02-2026,25-02-2026,03-03-2026,SKU-1025,Filter Cartridge,Meridian Components Co.,Spare Parts,Warehouse A - North,943,84.91,80070.13,13,6,Delayed,Pending,Priya Sharma
PO-0023,21-03-2026,07-04-2026,10-04-2026,SKU-1031,Industrial Cleaning Solvent,BlueRiver Chemicals,Chemicals,Warehouse A - North,498,18.25,9088.5,17,3,Delayed,Pending,Priya Sharma
PO-0024,17-01-2026,01-02-2026,30-01-2026,SKU-1012,Plastic Resin Pellets,Pinnacle Packaging Group,Raw Materials,Warehouse C - South,652,6.54,4264.08,15,-2,Delivered,Paid,Alex Johnson
PO-0025,11-06-2026,17-06-2026,18-06-2026,SKU-1031,Industrial Cleaning Solvent,Orion Logistics Supply,Chemicals,Warehouse B - Central,119,18.25,2171.75,6,1,Delivered,Pending,Priya Sharma
PO-0026,21-06-2026,11-07-2026,12-07-2026,SKU-1013,Rubber Sheet Roll,Nova Industrial Supply,Raw Materials,Warehouse C - South,602,271.48,163430.96,20,1,Delivered,Paid,Emily Chen
PO-0027,20-07-2026,09-08-2026,13-08-2026,SKU-1012,Plastic Resin Pellets,Atlas Raw Materials,Raw Materials,Warehouse A - North,244,6.54,1595.76,20,4,In Transit,Pending,Emily Chen
PO-0028,19-04-2026,07-05-2026,12-05-2026,SKU-1016,Corrugated Boxes (L),Orion Logistics Supply,Packaging,Warehouse C - South,934,5.18,4838.12,18,5,Delayed,Pending,Alex Johnson
PO-0029,14-04-2026,29-04-2026,28-04-2026,SKU-1002,Power Supply Unit,Pinnacle Packaging Group,Electronics,Warehouse A - North,304,202.07,61429.28,15,-1,Delivered,Paid,Priya Sharma
PO-0030,16-02-2026,01-03-2026,06-03-2026,SKU-1018,Pallet Wrap,Atlas Raw Materials,Packaging,Warehouse B - Central,305,35.22,10742.1,13,5,Delayed,Pending,Alex Johnson
PO-0031,16-06-2026,21-06-2026,20-06-2026,SKU-1002,Power Supply Unit,Pinnacle Packaging Group,Electronics,Warehouse A - North,998,202.07,201665.86,5,-1,Delivered,Paid,Emily Chen
PO-0032,13-04-2026,19-04-2026,19-04-2026,SKU-1011,Copper Wire Coil,Orion Logistics Supply,Raw Materials,Warehouse B - Central,438,85.31,37365.78,6,0,Delivered,Paid,Emily Chen
PO-0033,19-04-2026,09-05-2026,09-05-2026,SKU-1014,Industrial Adhesive Drum,Summit Electronics Ltd.,Raw Materials,Warehouse A - North,244,152.52,37214.88,20,0,Delivered,Paid,Alex Johnson
PO-0034,22-03-2026,28-03-2026,26-03-2026,SKU-1032,Lubricant Drum,BlueRiver Chemicals,Chemicals,Warehouse C - South,648,129.4,83851.2,6,-2,Delivered,Paid,Priya Sharma
