SKU,ItemName,Category,Supplier,Warehouse,UnitCostUSD,CurrentStock,SafetyStock,ReorderLevel,MaxStockLevel,AvgDailyUsage,DaysOfInventory,InventoryValueUSD,LastRestockDate
SKU-1001,Circuit Board Module,Electronics,Orion Logistics Supply,Warehouse C - South,385.87,131,252,472,1133,31.5,4.2,50548.97,2026-05-31
SKU-1002,Power Supply Unit,Electronics,Atlas Raw Materials,Warehouse A - North,202.07,410,58,77,252,6.5,63.1,82848.7,2026-05-08
SKU-1003,Sensor Array,Electronics,Atlas Raw Materials,Warehouse C - South,8.72,933,108,172,625,21.6,43.2,8135.76,2026-07-27
SKU-1004,Microcontroller Kit,Electronics,Orion Logistics Supply,Warehouse B - Central,199.36,983,305,440,1253,33.9,29.0,195970.88,2026-07-20
SKU-1005,LCD Display Panel,Electronics,Orion Logistics Supply,Warehouse C - South,126.62,1249,199,398,1395,39.9,31.3,158148.38,2026-06-24
SKU-1006,Wiring Harness,Electronics,Nova Industrial Supply,Warehouse A - North,254.29,0,26,52,192,5.2,0.0,0.0,2026-05-04
SKU-1007,Relay Switch,Electronics,Nova Industrial Supply,Warehouse A - North,95.95,1451,292,511,1496,36.5,39.8,139223.45,2026-05-11
SKU-1008,Capacitor Bank,Electronics,Pinnacle Packaging Group,Warehouse C - South,122.86,60,30,43,166,4.4,13.6,7371.6,2026-07-13
SKU-1009,Steel Sheet Roll,Raw Materials,Pinnacle Packaging Group,Warehouse C - South,47.27,50,26,39,108,3.3,15.2,2363.5,2026-07-14
SKU-1010,Aluminum Bar Stock,Raw Materials,BlueRiver Chemicals,Warehouse C - South,173.92,828,98,147,524,16.4,50.5,144005.76,2026-06-22
SKU-1011,Copper Wire Coil,Raw Materials,Nova Industrial Supply,Warehouse A - North,85.91,74,358,636,1352,39.8,1.9,6357.34,2026-07-03
SKU-1012,Plastic Resin Pellets,Raw Materials,Orion Logistics Supply,Warehouse B - Central,6.29,53,173,321,742,24.8,2.1,333.37,2026-05-17
SKU-1013,Rubber Sheet Roll,Raw Materials,Pinnacle Packaging Group,Warehouse A - North,271.38,721,124,186,651,15.5,46.5,195664.98,2026-06-11
SKU-1014,Industrial Adhesive Drum,Raw Materials,Atlas Raw Materials,Warehouse C - South,71.05,322,327,472,1236,36.4,8.8,22878.1,2026-05-21
SKU-1015,Corrugated Boxes (M),Packaging,Pinnacle Packaging Group,Warehouse C - South,427.66,55,318,424,1415,35.4,1.6,23521.3,2026-07-26
SKU-1016,Corrugated Boxes (L),Packaging,Summit Electronics Ltd.,Warehouse A - North,333.44,309,130,244,733,16.3,19.0,103032.96,2026-07-22
SKU-1017,Shrink Wrap Roll,Packaging,Atlas Raw Materials,Warehouse A - North,216.73,446,238,423,873,26.5,16.8,96661.58,2026-07-28
SKU-1018,Pallet Wrap,Packaging,Meridian Components Co.,Warehouse B - Central,186.32,345,53,95,351,10.7,32.2,64280.4,2026-07-14
SKU-1019,Bubble Cushioning Roll,Packaging,Meridian Components Co.,Warehouse B - Central,64.01,602,130,260,613,18.6,32.4,38534.02,2026-07-28
SKU-1020,Shipping Labels Pack,Packaging,Orion Logistics Supply,Warehouse B - Central,316.03,940,192,461,1115,38.5,24.4,297068.2,2026-06-21
SKU-1021,Hydraulic Pump Seal,Spare Parts,Vertex Parts & Tools,Warehouse A - North,449.71,133,35,54,116,3.9,34.1,59811.43,2026-06-17
SKU-1022,Conveyor Belt Section,Spare Parts,Vertex Parts & Tools,Warehouse A - North,308.95,1071,288,396,1479,36.1,29.7,330885.45,2026-06-12
SKU-1023,Bearing Assembly,Spare Parts,Nova Industrial Supply,Warehouse C - South,34.37,121,22,44,170,4.5,26.9,4158.77,2026-05-03
SKU-1024,Motor Coupling,Spare Parts,Orion Logistics Supply,Warehouse B - Central,209.25,242,198,352,683,22.1,11.0,50638.5,2026-05-30
SKU-1025,Filter Cartridge,Spare Parts,Nova Industrial Supply,Warehouse A - North,430.91,299,48,80,204,5.4,55.4,128842.09,2026-06-22
SKU-1026,Gearbox Unit,Spare Parts,Atlas Raw Materials,Warehouse C - South,276.07,1246,148,275,911,21.2,58.8,343983.22,2026-06-09
SKU-1027,Printer Toner Cartridge,Office Supplies,Summit Electronics Ltd.,Warehouse A - North,286.11,1135,193,322,1194,32.3,35.1,324734.85,2026-06-20
SKU-1028,A4 Paper Ream,Office Supplies,Pinnacle Packaging Group,Warehouse A - North,62.28,513,73,117,455,14.7,34.9,31949.64,2026-06-03
SKU-1029,Binder Clips Box,Office Supplies,Orion Logistics Supply,Warehouse B - Central,416.73,1193,267,500,1502,33.4,35.7,497158.89,2026-06-19
SKU-1030,Whiteboard Markers Pack,Office Supplies,Meridian Components Co.,Warehouse A - North,126.6,824,247,370,1012,24.7,33.4,104318.4,2026-07-28
SKU-1031,Industrial Cleaning Solvent,Chemicals,Atlas Raw Materials,Warehouse B - Central,205.76,54,14,22,60,2.0,27.0,11111.04,2026-07-16
SKU-1032,Lubricant Drum,Chemicals,Orion Logistics Supply,Warehouse A - North,284.22,121,185,264,820,26.5,4.6,34390.62,2026-06-28
SKU-1033,Coolant Fluid Container,Chemicals,Atlas Raw Materials,Warehouse C - South,6.82,592,194,252,640,19.4,30.5,4037.44,2026-06-16
SKU-1034,Adhesive Resin Drum,Chemicals,Atlas Raw Materials,Warehouse B - Central,382.25,1443,169,253,1045,28.3,51.0,551586.75,2026-07-14
