Date,InventoryValue
2026-07-03,3985000
2026-07-04,3992000
2026-07-05,4005000
2026-07-06,4011000
2026-07-07,4019000
2026-07-08,4024000
2026-07-09,4030000
2026-07-10,4037000
2026-07-11,4043000
2026-07-12,4050000
2026-07-13,4056000
2026-07-14,4062000
2026-07-15,4069000
2026-07-16,4075000
2026-07-17,4080000
2026-07-18,4087000
2026-07-19,4093000
2026-07-20,4099000
2026-07-21,4104000
2026-07-22,4109000
2026-07-23,4113000
2026-07-24,4118000
2026-07-25,4122000
2026-07-26,4127000
2026-07-27,4131000
2026-07-28,4135000
2026-07-29,4139000
2026-07-30,4142000
2026-07-31,4143500
2026-08-01,4114556
